Goal Groups,Goal,Parameter,Process Description
Waiting Time Related Goals,Reduce patient waiting times,Decrease resource count,"Modarres Hospital Emergency Department in Tehran, Iran operating Chest Pain Unit (CPU) for heart patients (52,000 patients/year, ~145 patients/day, 24/7 operations)
Problem: Long patient waiting times and congestion. Ministry mandates: all patients must be discharged/admitted within 6 hours of arrival. Current total average waiting time: 44 minutes, 40% have heart problems. 
Resources:
        •        1 triage nurse (categorizes patients by urgency)
        •        2 receptionists (collect patient information, locate files)
        •        3 nurses (perform ECG tests, monitoring)
        •        1 heart resident (medical decision-making, treatment)
        •        7 monitoring beds (for patient treatment and observation)
        •        CPR equipment (for most urgent cases)
Process Flow
All patients are categorized by Emergency Severity Index (ESI) from 1 (most urgent) to 5 (least urgent)
ESI Level 1: Most Urgent - Life-Threatening (2% of patients)
        1        Patient arrives by ambulance with urgent cardiac condition (cardiac arrest, severe heart attack)
        2        Immediate CPR - Patient goes directly to Cardio Pulmonary Resuscitation room (no waiting)
        3        All staff temporarily stop their tasks to provide immediate care (seconds matter)
        4        CPR performed to resuscitate patient
        5        If CPR successful → Patient transferred to CPU for further treatment
        6        If unsuccessful → Patient outcome recorded
No triage, no waiting - immediate life-saving intervention

ESI Level 2: Urgent (20% of patients)
        1        Patient arrives at ED entrance
        2        Triage assessment - Triage nurse evaluates patient (average: 2-5 minutes)
        3        Skip reception - ESI 2 patients go directly to CPU without waiting (high priority)
        4        Wait for bed assignment - Patient waits until monitoring bed becomes available
        5        Bed assigned - Patient placed on monitoring bed in CPU
        6        ECG taken - Nurse performs electrocardiography test (average: 5-15 minutes)
        7        Wait for heart resident - Patient waits for resident availability
        8        Heart resident examination - Resident evaluates condition and decides treatment (average: 10-20 minutes)
        9        Decision point:
        ◦        Treatment sufficient → Discharge from ED
        ◦        Need more treatment → Go to Step 10
        ◦        Need admission → Transfer to inpatient care unit
        10        Further treatment - Lab tests, medical advice, monitoring, another ECG (average: 45-180 minutes depending on tests)
        11        Final resident decision - Re-evaluation after treatment
        12        Patient discharged or admitted

ESI Level 3 & 4: Moderate Urgency (35% of patients)
        1        Patient arrives at ED entrance
        2        Triage assessment - Triage nurse evaluates patient (average: 2-5 minutes)
        3        Reception - Patient goes to receptionist who collects personal information and locates medical files (average: 3-5 minutes)
        4        Wait for bed assignment - Patient waits until monitoring bed available in CPU
        5        Bed assigned - Patient placed on monitoring bed
        6        ECG taken - Nurse performs test (average: 5-15 minutes)
        7        Wait for heart resident - Patient waits for resident availability
        8        Heart resident examination - Evaluation and treatment decision (average: 10-20 minutes)
        9        Decision point (same as ESI 2):
        ◦        Treatment sufficient → Discharge
        ◦        Need more treatment → Further treatment (lab tests, monitoring, etc.)
        ◦        Need admission → Transfer to inpatient unit
        10        If further treatment needed: Lab tests (45-180 min), medical advice (15-90 min), monitoring (30-60 min)
        11        Final decision - Discharge or admit

ESI Level 5: Least Urgent (43% of patients)
        1        Patient arrives at ED entrance
        2        Triage assessment - Triage nurse evaluates (average: 2-5 minutes)
        3        Reception - Collect information (average: 3-5 minutes)
        4        General physician visit - Patient sees general physician in ED (not heart specialist)
        5        Discharged - Patient leaves ED
Does NOT go to CPU - handled by general ED"
Waiting Time Related Goals,Reduce patient waiting times,Change Routing probability / distribution,
Increasing Processing Capacity Related Goals,Relieve congestion and improve patient flow,Increase number of resources,
,,,
Reduce Processing time Related Goals,Reduce Processing Time,Increase resources,"Regional Police Traffic Directorate (RPTD) in Indonesia operates Camera-based traffic violation capture, validation, and enforcement
Staff: 7 validation officers, only 2 computers
Problem: 95%+ of 3.4 million annual violations never get validated and processed
Resources
        •        Electronic Traffic Law Enforcement (ETLE)  cameras: 24/7 violation capture
        •        2 computers for 7 officers (severe bottleneck)
        •        Event logging system
        •        SMS notification system
Process Flow (7 Steps)
Step 1: Capture → Cameras capture violation 24/7
Step 2: Validate → Officers manually validate (MUST be same day)
        •        Problem: Only 2 computers for 7 officers
        •        Result: Massive backlog; 95% violations never processed
Step 3: Sent → Confirmation letter sent to offender
Step 4: Confirm → Offender must respond within 8 days
Step 5: Billed → Payment code sent via SMS
Step 6: Blocked → Vehicle blocked if no payment within 15 days (enforcement)
Step 7: Paid → Fine paid; violation closed"
Increasing Processing Capacity Related Goals,Increase processing capacity,Add more available hours to resources,
,,,
Increasing Processing Capacity Related Goals,Increase production capacity slightly and reduce waste time,Decrease processing time,"Setting: Hungarian assembly and engineering company producing customized factory units with CNC production line (5 programmers, 6 CNC operators, 2 cutting operators, 1 technologist per shift)
Resources: 1 technologist (decision-maker), 2 cutting operators, 5 programmers (CAM program writers), 6 CNC operators (8 CNC machines available)
Process Flow
Step 1: Technologist Process Decision
Actors: 1 technologist operator per shift
Activities:
        1        Receive customer order for customized factory unit
        2        Analyze order specifications and requirements
        3        Decide sequence of required manufacturing processes
        4        Determine cutting specifications needed
        5        Decide which CAM programs required
        6        Communicate requirements to cutting plant and programming department
        7        Prioritize job sequence for production line
Duration: Variable, depends on order complexity
Step 2: Cutting Plant Process
Actors: 2 operators per shift
Activities:
        1        Receive raw material specifications from technologist
        2        Transport raw materials to cutting machine
        3        Set up cutting machine for required dimensions
        4        Cut raw materials to exact dimensions specified
        5        Transport cut materials to staging area
        6        Stack cut materials for CNC preparation
        7        Walk between machines and staging areas
        8        Document completed cuts
Duration: Per piece - 2.95 minutes for radiography equivalent (parallel activity)
Output: Raw materials cut to exact dimensions, ready for CNC milling
Non-Value-Added Activities: Walking time between cutting machine and staging area
Step 3: Programming Department - CAM Program Preparation
Actors: 5 programmers per shift
Activities - Path A (Programmers write programs):
        1        Receive CAM program requirements from technologist
        2        Analyze cutting specifications
        3        Write CAM program code for CNC machines
        4        Test program syntax and logic
        5        Save program to shared system
        6        Document program for CNC operators
        7        Wait for CNC machine availability
        8        Queue programs for machines
Activities - Path B (CNC Operators write programs - 30% of cases):
        1        CNC operators receive specifications
        2        Write CAM program at their machine
        3        Reduces available machine time
        4        Increases non-productive operator time
Output: CAM programs ready for CNC machines, either from programmers (70%) or CNC operators (30%)
Step 4: CNC Milling Plant Process
Actors: 6 operators managing 8 machines
Activities:
        1        Receive cut materials from cutting plant
        2        Transport materials to assigned CNC machine
        3        Verify CAM program availability
        4        If program not ready, WAIT (or write program themselves)
        5        Load raw material onto CNC machine
        6        Load required tools into machine tool shelf
        7        Start CNC milling program execution
        8        Monitor machine during milling
        9        Walk to other machines to check status
        10        Retrieve finished pieces from CNC machine
        11        Stack finished pieces in staging area
        12        Transport pieces to next process/quality check
        13        Clean machine and tool shelf"
Increasing Processing Capacity Related Goals,Increased the quantity produced per shift,Change resource activity assignments,
,,,
Waiting Time Related Goals,Reduce time-consuming call handling,Decrease call arrival rate or event generation rate,"Multinational company in electrification, digitalization, and automation in Lisbon, Portugal operates Human Resources (HR) IT Support Service with 17 members team. 
Process Focus: Incident Management (IM) - ITIL-based framework
Resources Involved
Support Levels & Staff:
        •        1st Support Level (Dispatching): 2 support agents
        •        2nd Support Level (Technical Resolution): 10 support experts
        •        3rd Support Level (Escalation): 4 IT specialists (plus external IT development teams)
        •        External Participants: IT suppliers/vendors
        •        Technology: Single IM system for incident logging, management, and ticket tracking
Most Common Process Paths
Path 1: Most Probable Path (Desired Outcome)
        1        Incident arrives via email (94.36% probability)
        2        1st support level correctly dispatches
        3        2nd support level solves entirely (66% of cases)
        4        No customer reopening request (97.01% of cases)
        5        Ticket closed
        6        Average time: 276.06 minutes (4.60 hours)
Path 2: Second Most Probable Path
        1        Incident arrives via email
        2        1st support level correctly dispatches
        3        2nd support level escalates to 3rd support level (34% of cases)
        4        3rd support level resolves with supplier intervention (5% of escalations)
        5        Returned to 2nd support level for closure
        6        No reopening request
        7        Ticket closed
        8        Average time: 803.02 minutes (13.38 hours)
Path 3: Least Probable Paths
        •        Incidents ending in critical incident procedure (0.13%)
        •        Incidents ending in rejection (1.55%)"
Waiting Time Related Goals,Improve time performance,Reduce processing time,
Waiting Time Related Goals,Reduce processing time,Reduce processing time for any activity,
,,,
Increasing Processing Capacity Related Goals,Improve patient access & autonomy,Add more available hours to resources,"Academic Medical Center in Amsterdam operates CT-scan facility (2 scanners, 12,000 scans/year, 8:30 AM-4:45 PM weekdays)
Problem: Current appointment-only system causes access delays (5.37 days average), requires multiple hospital visits, causes no-shows (2.6%), administrative burden. Want to enable walk-in while maintaining service for appointment-requiring patients.
Current System: All patients scheduled with appointments. 9 patient types with different requirements (77.48% eligible for walk-in, 9.96% require specific appointments, 12.56% inpatients).
Resources:
        •        2 CT scanners (CT1, CT2)
        •        Lab (capacity: 10 patients, for creatinine testing)
        •        IV preparation station (capacity: 1)
        •        Oral contrast preparation area (capacity: 10)

Process Flow (9 Patient Types)
Type 1-5: Walk-in Eligible Patients (77.48% total)
Type 1: IV(Intravenous)-Oral60 (19.09%) - Needs IV + 60-min oral contrast:
        1        Patient arrives at CT facility (walk-in)
        2        Lab visit (if no recent creatinine test - only 3% of patients, 60 min)
        3        Creatinine test check - If level too high (6% probability) → rerouted to appointment scheduler
        4        IV line placement - Nurse places IV (8.85 min average)
        5        Oral contrast drinking - Start 60 min before scan (deterministic)
        6        Wait for CT scanner availability
        7        CT scan (log-normal distribution, 4.5-40 min range)
        8        Exit
Type 2: IV-Oral30 (5.04%) - Similar to Type 1 but 30-min oral prep
Type 3: IV only (15.71%) - IV line + scan
Type 4: Oral30 (0.34%) - 30-min oral prep + scan
Type 5: Outpatient no prep (37.30%) - Direct to scan

Type 6-8: Appointment-Required Outpatients (9.96%)
Type 6: Colonography (1.23%):
        •        Requires 3-day advance preparation
        •        Reserved slots: 2-hour blocks
        •        CT time: 26.8 min average
Type 7: Puncture (1.43%):
        •        Requires anesthesia, physician present
        •        Reserved slots: 5 slots (75 min after optimization)
        •        CT time: 67.6 min average
Type 8: Cardiac (7.30%):
        •        Requires cardiologist present
        •        Reserved slots: 1 slot (15 min)
        •        CT time: varies

Type 9: Inpatients (12.56%)
        •        Arrive pre-prepared from inpatient unit
        •        Prefer same-day appointments
        •        Direct to CT scan"
Improving Resource Utilisation Related Goals,Optimize resource utilization & reduce waste,Adjust/optimise resource schedules,
Improving Resource Utilisation Related Goals,Optimize resource allocation & capacity,Increase resource available hours,
,,,
Increasing Processing Capacity Related Goals,Increase throughput,Add more available hours to the resource schedules,"Educational Dentistry Clinic in Jordan operates Orthodontic and primary diagnosis departments (working hours: 8 AM-4 PM, 5 days/week, closed Wednesdays)

Departments: 7 private clinics (orthodontic, primary diagnosis, periodontics, restorative, surgery, kids, prosthodontics) + emergency Resources:
        •        2 receptionists (shared across all clinics)
        •        Orthodontic: 3 orthodontists, 2 treatment rooms
        •        Primary diagnosis: 3 dentists, 1 treatment room
        •        Shared: Radiography rooms (panoramic, lateral cephalometric, CT scan, digital periapical), accounting room
Patient Types: 6% new orthodontic patients, 94% follow-ups; 77% new primary diagnosis patients, 23% follow-ups
Process Flow
Orthodontic Clinic Patients
New Patients (6%):
        1        Arrive at clinic entrance
        2        Registration - Receptionist registers new patient, opens file (2.06 min average)
        3        Preliminary medical examination - Dentist examines, decides radiography type needed (7.98 min)
        4        Go to radiography room - Patient sent for panoramic + lateral cephalometric OR CT scan
        5        Radiography performed (3.92 min per type)
        6        Accounting #1 - Pay for radiography, receive receipt (1.28 min)
        7        Return to radiography - Give receipt, collect radiographs (sent via network or picked up)
        8        Return to orthodontist - Dentist diagnoses condition, begins treatment plan (10.2 min)
        9        Accounting #2 - Pay for dentist treatment
        10        Make appointment or exit - Schedule next visit or complete treatment
Follow-up Patients (94%):
        1        Arrive at clinic
        2        Registration - Confirm appointment (0.464 min)
        3        Orthodontist treatment - Direct treatment (10.2 min average, or 20-30 min for orthodontic case placement)
        4        Accounting - Pay for treatment
        5        Make appointment or exit
Special Case: Patients putting orthodontic cases (handled in morning):
        •        Priority: Highest (need 20-30 min treatment time)
        •        Current problem: Clinic schedules other patients same time → major congestion

Primary Diagnosis Clinic Patients
New Patients (77%):
        1        Arrive at clinic
        2        Registration - Open new file (2.06 min)
        3        Preliminary examination - Dentist decides radiography needed (7.98 min)
        4        Radiography - Digital periapical and/or panoramic (2.95 min)
        5        Accounting #1 - Pay for radiography
        6        Return to radiography - Collect radiographs
        7        Return to dentist - Treatment (15-25 min uniform)
        8        Accounting #2 - Pay for treatment
        9        Make appointment or exit
Follow-up Patients (23%):
        1        Registration
        2        Dentist treatment directly
        3        Accounting
        4        Exit or make appointment"
Improving Resource Utilisation Related Goals,Improve resource utilization,Increase/Decrease role working capacity,
Improving Resource Utilisation Related Goals,Increase receptionist utilization,Increase/Decrease resources,
